govorъ;gaworzyć;gowor
gǫba;huba;
gǫsakъ;;
gǫsь;gęś;
gǫsli;gęśle;
gǫstěti;gęścieć;
gǫsti;;gąść
gǫstъ;gęsty;
gǫšča;;
gǫzъ;gąz;
grabiti;grabić;
grabrъ;grab;
gradъ;grad;
grajati;zgraja;
grakati;grakać;
grakъ;grak;
granica;granica;granica
granivъ;;
granь;grań;
greby;grzebień;
greti;grzebać;grześć
grějati;;
grěnь;;
grěnъ;;
grěšiti;grzeszyć;grzeszyć
grěšьnъ;grzeszny;
grěti;grzać;
grěvъ;;
grěxъ;grzech;grzech
gręda;grzęda;
grędь;;
gręsti;;
gręza;;
gręziti;;
gręzь;;
gręznǫti;grzęznąć;
gręzti;*grząźć;
gribъ;grzyb;
griva;grzywa;
grivьna;grzywna;grzywna
grьkъ;;
grьměti;grzmieć;grzmieć
grobъ;grób;
gromada;gromada;
gromъ;grom;
grotъ;grot;grot
groxotъ;grochot;
groza;groza;
grozdъ;;
groziti;grozić;
grozьnъ;groźny;
grǫbъ;gręby;
grǫdь;grędź;grędzi
grǫziti;grążyć;
grǫzъ;grąz;
gruda;gruda;grąd
gruditi;grudzić;
grupa;grupa;
grustь;;
gruzъ;gruz;gruz
grъmъ;;
grъtanь;krtań;
gryzti;gryźć;
gryža;;
gubiti;gubić;
guja;;
gumьno;gumno;
guščerъ;;
gutorъ;;
gъbnǫti;giąć;
-gъda;;
Proto-Slavic Word;Polish Word;Old Polish Word
a;a;a
a-;;
abьje;;
ablo;;jabło
ablonь;jabłoń;
ablonьnъ;;
ablъko;jabłko;
-ačь;-acz;-acz
adati;;
adušivъ;;
aduxa;jaducha;
agnę;jagnię;
agnętina;jagnięcina;
agniti;jagnić się;
agnьcь;;
agoda;jagoda;
agolvo;;
ajatъ;;
aje;jajo;
ajina;;
ajitъ;;
-ajь;;
ajьce;jajce;
ajьčьjь;;
ajьčьna;;
ajьčьnica;jajecznica;
ajьčьnikъ;;
ajьčьnъ;jajeczny;
ajьko;jajko;
ajьno;;
ajьnъ;jajny;
-akъ;-ak;
ale;ale;ale
-aľь;-al;-al
ano;ano;ano
arębina;jarzębina;
arębъ;jarząb;
arьmo;jarzmo;jarzmo
-ařь;-arz;
asenь;jesion;
astrębъ;jastrząb;
aščerica;;jaszczerzyca
aščerъ;jaszczur;
aščerъka;jaszczurka;jaszczórka
-ati;;
-atъ;-aty;
aviti;jawić się;
avьnъ;jawny;
avorъ;jawór;
axati;achać;
axъ;ach;ach
axъkati;;
azь;jaź;
azьno;;
ba;ba;ba
baba;baba;baba
baba ęga;Baba Jaga;
babona;;
babonъ;zabobon;
babrati;babrać;
babunъ;;
babušьka;;
babъka;babka;babka
badati;badać;badać
badli;;
badlovati;;
badъ;;
bagati;zabagać;
bagno;bagno;bagno
bagra;;
bagrъ;;
bagy;;
bajačь;;
bajati;bajać;bajać
bajьka;bajka;
bakati;bakać;bakać
bala;;
balakati;bałakać;
balъka;bałka;
baňa;bania;bania
banъ;;
bara;bary;
baranъ;baran;baran
barьnъ;;
basnь;baśń;baśń
basъ;;
basъkъ;;
batę;;
batь;;
batogъ;batog;
batъ;bat;
baviti;bawić;bawić
bavьnъ;;
baxati;;
baxoriti;;
bazovъ;;
bazъ;bazia;
bažiti;;zábáżyć się
bebrъ;;
bedrьnikъ;;
bedrьnьcь;biedrzeniec;biedrzeniec
bedro;biodro;biodro
bekati;;
bel(e)niti;;
bel(e)nъ;bieluń;bleń
berďь;;
bergъ;brzeg;
bermę;brzemię;
bernъ;;
bersky;;
berstъ;brzost;
berťi;;
berza;brzoza;
berzьnъ;brzezień;
beržan(in)ъ;;
besěda;biesiada;biesiada
besědovati;biesiadować;
bez;bez;bez
bezbordъ;bezbrody;
bezčędьnъ;;
bezdětьnъ;bezdzietny;
bezdušьnъ;bezduszny;
bezdъna;bezdna;
bezimenьnъ;bezimienny;
bezorьnъ;;
bezvěstь;;
běda;bieda;biada
běditi;biedzić;biedzić
bědьnъ;biedny;
běgati;biegać;biegać
běglъ;biegły;
běgǫtъ;;
běgъ;bieg;bieg
běka;;
běkati;bekać;
bělěti;bieleć;
bělica;bielica;bielica
bělidlo;bielidło;bielidło
bělina;;
běliti;bielić;
bělivo;;
bělь;biel;
bělьcь;;
bělьmo;bielmo;bielmo
bělonogъ;białonogi;
bělota;;
bělověža;Białowieża;
Bělovoldъ;;
bělovolsъ;białowłosy;
bělъ;biały;biał
bělъ bogъ;;
bělъka;białka;
bělъkъ;białek;białek
běsiti;biesić;
běsъ;bies;bies
běťi;biec;biec
běžati;bieżeć;
biba;;
bičati;;
bičevati;biczować;
bičь;bicz;bicz
bidlo;bidło;bidło
bigrъ;;
biti;bić;bić
bitva;bitwa;bitwa
bьbrъ;;
bьčela;pszczoła;pczeła
bьltati;bełtać;
bьranь;;
bьrati;brać;
bьrava;;
bьrdo;bardo;bardo
bьrgъ;;barg
bьrgъlězъ;bargiel;
bьrlogъ;barłóg;barłóg
blazniti;błaźnić;
blaznь;;
blaznъ;błazen;błazno
blejati;;
blekotъ;blekot;blekot
blědostь;bladość;bladość
blědъ;blady;blady
blějati;;
blěknǫti;;
blěskъ;blask;blask
blędati;blańdać;
blędivъ;;
blędь;bladź;
blęsti;blęść;
blizьnьcь;bliźniak;
blizna;blizna;blizna
blizъ;blizo;blizi
blizъkъ;bliski;bliski
blьknǫti;blaknąć;
blьsknǫti;błysnąć;
blьščati;błyszczeć;błyszczeć, błyszczeć się
blǫdati;;
blǫditi;błądzić;błądzić
blǫdьnъ;błędny;
blǫdъ;błąd;błąd
blъxa;pchła;
blyjati;;
bľьvati;bluć;blwać
bľudo;;
bľukati;;
bľusti;;
bľuščь;bluszcz;bluszcz
bľuti;;
bľuzgati;bluzgać;
bo;bo;
bobrъ;bóbr;bóbr
bobъ;bób;bób
bobyrь;bobyr;
bodačь;;
bodati;;
